Date,volume
2002-03-21,0
2002-03-22,44247600
2002-03-25,7429200
2002-03-26,4604400
2002-03-27,13928400
2002-03-28,6098400
2002-04-01,2727600
2002-04-02,4144800
2002-04-03,8430000
2002-04-04,2284800
2002-04-05,5533200
2002-04-08,4418400
2002-04-09,2905200
2002-04-10,3027600
2002-04-11,5821200
2002-04-12,5308800
2002-04-15,2198400
2002-04-16,3998400
2002-04-17,3704400
2002-04-18,3751200
2002-04-19,3531600
2002-04-22,8922000
2002-04-23,12386400
2002-04-24,6998400
2002-04-25,3238800
2002-04-26,7994400
2002-04-29,3802800
2002-04-30,4616400
2002-05-01,5505600
2002-05-02,7122000
2002-05-03,5690400
2002-05-06,4885200
2002-05-07,10905600
2002-05-08,3747600
2002-05-09,2978400
2002-05-10,6310800
2002-05-13,844800
2002-05-14,3202800
2002-05-15,2846400
2002-05-16,2947200
2002-05-17,3913200
2002-05-20,2151600
2002-05-21,5212800
2002-05-22,5890800
2002-05-23,3151200
2002-05-24,726000
2002-05-28,4741200
2002-05-29,12590400
2002-05-30,6364800
2002-05-31,4238400
2002-06-03,2103600
2002-06-04,6966000
2002-06-05,1942800
2002-06-06,26244000
2002-06-07,7039200
2002-06-10,1519200
2002-06-11,12758400
2002-06-12,14788800
2002-06-13,8529600
2002-06-14,4033200
2002-06-17,4896000
2002-06-18,7026000
2002-06-19,3056400
2002-06-20,5902800
2002-06-21,8233200
2002-06-24,7480800
2002-06-25,8950800
2002-06-26,5354400
2002-06-27,6020400
2002-06-28,2584800
2002-07-01,2307600
2002-07-02,4052400
2002-07-03,3411600
2002-07-05,476400
2002-07-08,696000
2002-07-09,2534400
2002-07-10,460800
2002-07-11,2998800
2002-07-12,5691600
2002-07-15,7260000
2002-07-16,5815200
2002-07-17,6288000
2002-07-18,4052400
2002-07-19,3966000
2002-07-22,8041200
2002-07-23,6543600
2002-07-24,4614000
2002-07-25,1369200
2002-07-26,1795200
2002-07-29,2527200
2002-07-30,7682400
