Date,volume
2000-01-03,417900
2000-01-04,242400
2000-01-05,175020
2000-01-06,105960
2000-01-07,105720
2000-01-10,102960
2000-01-11,138720
2000-01-12,162660
2000-01-13,121380
2000-01-14,125220
2000-01-18,170280
2000-01-19,194820
2000-01-20,256740
2000-01-21,75060
2000-01-24,101700
2000-01-25,65760
2000-01-26,107700
2000-01-27,94800
2000-01-28,197940
2000-01-31,80100
2000-02-01,52140
2000-02-02,41160
2000-02-03,59580
2000-02-04,81240
2000-02-07,34500
2000-02-08,177540
2000-02-09,110460
2000-02-10,170520
2000-02-11,117780
2000-02-14,83880
2000-02-15,83040
2000-02-16,34080
2000-02-17,80400
2000-02-18,50520
2000-02-22,114900
2000-02-23,50580
2000-02-24,79200
2000-02-25,111900
2000-02-28,42900
2000-02-29,119220
2000-03-01,63600
2000-03-02,85080
2000-03-03,72360
2000-03-06,78300
2000-03-07,209460
2000-03-08,80220
2000-03-09,179520
2000-03-10,78960
2000-03-13,67140
2000-03-14,236040
2000-03-15,58380
2000-03-16,35040
2000-03-17,16680
2000-03-20,34440
2000-03-21,47100
2000-03-22,127200
2000-03-23,230520
2000-03-24,190260
2000-03-27,110820
2000-03-28,64740
2000-03-29,88860
2000-03-30,56100
2000-03-31,64320
2000-04-03,48300
2000-04-04,120600
2000-04-05,124620
2000-04-06,56040
2000-04-07,62640
2000-04-10,39000
2000-04-11,67440
2000-04-12,60900
2000-04-13,55740
2000-04-14,215640
2000-04-17,91680
2000-04-18,113100
2000-04-19,78660
2000-04-20,64620
2000-04-24,36000
2000-04-25,63480
2000-04-26,71220
2000-04-27,53700
2000-04-28,19560
2000-05-01,9420
2000-05-02,43140
2000-05-03,42840
2000-05-04,46680
2000-05-05,36960
2000-05-08,38280
2000-05-09,70380
2000-05-10,40200
2000-05-11,109020
2000-05-12,32520
2000-05-15,29340
2000-05-16,43260
2000-05-17,83520
2000-05-18,33600
2000-05-19,97620
2000-05-22,123180
2000-05-23,110460
2000-05-24,46020
2000-05-25,121380
2000-05-26,75000
2000-05-30,94740
2000-05-31,44700
2000-06-01,81420
2000-06-02,89880
2000-06-05,69120
2000-06-06,86220
2000-06-07,82620
2000-06-08,47820
2000-06-09,31560
2000-06-12,5040
2000-06-13,42780
2000-06-14,22020
2000-06-15,38640
2000-06-16,48240
2000-06-19,28620
2000-06-20,26580
2000-06-21,33360
2000-06-22,83940
2000-06-23,38700
2000-06-26,134700
2000-06-27,134940
2000-06-28,83700
2000-06-29,132180
2000-06-30,404880
2000-07-03,88020
2000-07-05,222540
2000-07-06,235500
2000-07-07,140460
2000-07-10,69600
2000-07-11,57300
2000-07-12,106380
2000-07-13,83400
2000-07-14,59940
2000-07-17,48360
2000-07-18,172200
2000-07-19,136200
2000-07-20,286260
2000-07-21,94680
2000-07-24,103020
2000-07-25,304500
2000-07-26,146520
2000-07-27,116100
2000-07-28,113400
2000-07-31,109800
2000-08-01,80160
2000-08-02,185880
2000-08-03,90960
2000-08-04,60780
2000-08-07,69840
2000-08-08,91980
2000-08-09,98580
2000-08-10,172680
2000-08-11,207720
2000-08-14,103920
2000-08-15,261180
2000-08-16,68640
2000-08-17,44580
2000-08-18,64020
2000-08-21,109560
2000-08-22,47460
2000-08-23,35160
2000-08-24,112080
2000-08-25,68400
2000-08-28,26640
2000-08-29,51720
2000-08-30,35760
2000-08-31,29940
2000-09-01,70980
2000-09-05,76020
2000-09-06,122520
2000-09-07,235440
2000-09-08,84240
2000-09-11,94080
2000-09-12,394200
2000-09-13,333960
2000-09-14,354060
2000-09-15,96480
2000-09-18,122760
2000-09-19,130560
2000-09-20,71880
2000-09-21,96060
2000-09-22,120300
2000-09-25,129540
2000-09-26,60780
2000-09-27,199020
2000-09-28,112200
2000-09-29,72780
2000-10-02,47940
2000-10-03,44100
2000-10-04,58500
2000-10-05,24120
2000-10-06,24720
2000-10-09,21360
2000-10-10,72660
2000-10-11,62460
2000-10-12,133020
2000-10-13,170400
2000-10-16,177120
2000-10-17,45960
2000-10-18,97740
2000-10-19,88440
2000-10-20,208080
2000-10-23,52080
2000-10-24,183840
2000-10-25,125640
2000-10-26,104280
2000-10-27,87480
2000-10-30,100140
2000-10-31,56340
2000-11-01,48960
2000-11-02,62340
2000-11-03,16440
2000-11-06,4080
2000-11-07,20460
2000-11-08,16920
2000-11-09,16680
2000-11-10,8160
2000-11-13,50580
2000-11-14,98520
2000-11-15,20460
2000-11-16,19140
2000-11-17,10620
2000-11-20,25860
2000-11-21,53520
2000-11-22,29820
2000-11-24,18660
2000-11-27,36480
2000-11-28,59400
2000-11-29,47220
2000-11-30,118380
2000-12-01,135720
2000-12-04,43860
2000-12-05,126600
2000-12-06,89940
2000-12-07,183840
2000-12-08,64080
2000-12-11,46080
2000-12-12,11700
2000-12-13,46920
2000-12-14,49320
2000-12-15,108540
2000-12-18,42840
2000-12-19,46140
2000-12-20,121560
2000-12-21,64140
2000-12-22,43020
2000-12-26,13980
2000-12-27,74100
2000-12-28,38940
2000-12-29,43800
2001-01-02,35760
2001-01-03,32100
2001-01-04,42300
2001-01-05,151800
2001-01-08,22380
2001-01-09,39960
2001-01-10,63240
2001-01-11,20820
2001-01-12,77820
2001-01-16,19440
2001-01-17,41640
2001-01-18,27600
2001-01-19,18480
2001-01-22,44940
2001-01-23,12180
2001-01-24,52860
2001-01-25,50400
2001-01-26,62580
2001-01-29,33780
2001-01-30,40140
2001-01-31,36900
2001-02-01,42660
2001-02-02,94500
2001-02-05,32880
2001-02-06,111000
2001-02-07,15000
2001-02-08,43380
2001-02-09,53040
2001-02-12,20880
2001-02-13,41820
2001-02-14,17820
2001-02-15,45660
2001-02-16,30540
2001-02-20,35940
2001-02-21,45180
2001-02-22,14280
2001-02-23,53640
2001-02-26,14040
2001-02-27,30720
2001-02-28,12060
2001-03-01,19320
2001-03-02,8340
2001-03-05,12960
2001-03-06,42840
2001-03-07,80400
2001-03-08,59400
2001-03-09,9060
2001-03-12,38040
2001-03-13,38040
2001-03-14,53160
2001-03-15,10380
2001-03-16,52860
2001-03-19,23160
2001-03-20,24960
2001-03-21,43620
2001-03-22,21360
2001-03-23,60600
2001-03-26,39600
2001-03-27,8460
2001-03-28,13140
2001-03-29,17100
2001-03-30,43020
2001-04-02,59220
2001-04-03,133620
2001-04-04,45780
2001-04-05,107940
2001-04-06,8700
2001-04-09,5880
2001-04-10,191520
2001-04-11,57240
2001-04-12,31620
2001-04-16,18360
2001-04-17,23580
2001-04-18,112860
2001-04-19,110160
2001-04-20,11880
2001-04-23,14400
2001-04-24,50700
2001-04-25,29040
2001-04-26,46260
2001-04-27,11220
2001-04-30,44520
2001-05-01,3240
2001-05-02,39960
2001-05-03,32100
2001-05-04,15840
2001-05-07,15360
2001-05-08,41400
2001-05-09,19440
2001-05-10,59880
2001-05-11,19740
2001-05-14,19140
2001-05-15,13260
2001-05-16,12120
2001-05-17,25800
2001-05-18,79140
2001-05-21,34080
2001-05-22,31140
2001-05-23,91260
2001-05-24,12540
2001-05-25,105000
2001-05-29,108360
2001-05-30,148860
2001-05-31,105420
2001-06-01,115200
2001-06-04,41460
2001-06-05,101820
2001-06-06,80940
2001-06-07,35400
2001-06-08,9720
2001-06-11,51600
2001-06-12,46920
2001-06-13,54840
2001-06-14,38340
2001-06-15,78000
2001-06-18,87600
2001-06-19,147000
2001-06-20,58080
2001-06-21,50760
2001-06-22,80220
2001-06-25,80100
2001-06-26,30180
2001-06-27,38400
2001-06-28,13200
2001-06-29,13920
2001-07-02,11580
2001-07-03,38940
2001-07-05,61620
2001-07-06,52920
2001-07-09,45060
2001-07-10,43920
2001-07-11,18540
2001-07-12,9780
2001-07-13,41520
2001-07-16,33060
2001-07-17,18300
2001-07-18,55560
2001-07-19,53820
2001-07-20,69180
2001-07-23,36120
2001-07-24,18240
2001-07-25,15660
2001-07-26,18120
2001-07-27,140580
2001-07-30,71640
2001-07-31,58080
2001-08-01,20580
2001-08-02,48360
2001-08-03,94140
2001-08-06,77040
2001-08-07,12480
2001-08-08,10320
2001-08-09,36960
2001-08-10,24600
2001-08-13,17580
2001-08-14,18420
2001-08-15,17580
2001-08-16,78900
2001-08-17,16320
2001-08-20,15600
2001-08-21,56400
2001-08-22,252420
2001-08-23,105960
2001-08-24,78600
2001-08-27,108900
2001-08-28,159540
2001-08-29,68520
2001-08-30,74160
2001-08-31,81960
2001-09-04,82080
2001-09-05,86940
2001-09-06,42600
2001-09-07,61740
2001-09-10,58980
2001-09-17,81900
2001-09-18,52800
2001-09-19,92820
2001-09-20,102060
2001-09-21,58020
2001-09-24,49260
2001-09-25,79380
2001-09-26,50220
2001-09-27,39840
2001-09-28,108720
2001-10-01,96060
2001-10-02,83100
2001-10-03,88860
2001-10-04,129780
2001-10-05,73740
2001-10-08,96420
2001-10-09,95880
2001-10-10,70980
2001-10-11,92160
2001-10-12,54060
2001-10-15,99900
2001-10-16,99960
2001-10-17,95520
2001-10-18,109320
2001-10-19,184260
2001-10-22,44220
2001-10-23,54480
2001-10-24,24060
2001-10-25,18420
2001-10-26,230820
2001-10-29,290940
2001-10-30,290280
2001-10-31,97440
2001-11-01,121980
2001-11-02,48120
2001-11-05,100200
2001-11-06,64260
2001-11-07,310200
2001-11-08,294180
2001-11-09,350160
2001-11-12,279960
2001-11-13,386160
2001-11-14,348420
2001-11-15,270180
2001-11-16,268740
2001-11-19,262020
2001-11-20,500280
2001-11-21,265140
2001-11-23,188940
2001-11-26,698400
2001-11-27,458400
2001-11-28,276780
2001-11-29,304260
2001-11-30,240780
2001-12-03,192540
2001-12-04,285060
2001-12-05,450960
2001-12-06,189540
2001-12-07,278760
2001-12-10,146160
2001-12-11,192180
2001-12-12,209160
2001-12-13,119280
2001-12-14,298320
2001-12-17,165780
2001-12-18,108780
2001-12-19,132660
2001-12-20,138180
2001-12-21,89520
2001-12-24,18420
2001-12-26,53640
2001-12-27,70260
2001-12-28,93960
2001-12-31,77640
2002-01-02,85980
2002-01-03,133800
2002-01-04,159780
2002-01-07,176760
2002-01-08,80700
2002-01-09,213900
2002-01-10,114420
2002-01-11,330900
2002-01-14,231180
2002-01-15,75960
2002-01-16,81120
2002-01-17,111900
2002-01-18,66720
2002-01-22,187800
2002-01-23,232200
2002-01-24,253980
2002-01-25,177720
2002-01-28,157860
2002-01-29,154560
2002-01-30,186540
2002-01-31,161880
2002-02-01,110400
2002-02-04,116640
2002-02-05,219240
2002-02-06,235380
2002-02-07,236040
2002-02-08,234480
2002-02-11,143400
2002-02-12,129960
2002-02-13,70320
2002-02-14,73080
2002-02-15,27960
2002-02-19,134280
2002-02-20,202560
2002-02-21,184620
2002-02-22,78120
2002-02-25,37800
2002-02-26,173520
2002-02-27,52920
2002-02-28,66240
2002-03-01,104640
2002-03-04,138120
2002-03-05,92100
2002-03-06,244560
2002-03-07,201480
2002-03-08,122220
2002-03-11,220680
2002-03-12,181080
2002-03-13,79380
2002-03-14,269640
2002-03-15,141900
2002-03-18,98220
2002-03-19,38220
2002-03-20,171840
2002-03-21,180540
2002-03-22,94560
2002-03-25,112560
2002-03-26,135900
2002-03-27,29940
2002-03-28,80100
2002-04-01,40500
2002-04-02,96780
2002-04-03,154920
2002-04-04,72960
2002-04-05,92160
2002-04-08,58920
2002-04-09,177900
2002-04-10,301920
2002-04-11,369120
2002-04-12,148680
2002-04-15,237420
2002-04-16,347040
2002-04-17,188640
2002-04-18,158820
2002-04-19,62760
2002-04-22,324660
2002-04-23,420960
2002-04-24,198840
2002-04-25,246720
2002-04-26,152580
2002-04-29,374820
2002-04-30,377640
2002-05-01,244860
2002-05-02,525360
2002-05-03,248700
2002-05-06,212640
2002-05-07,253200
2002-05-08,280920
2002-05-09,239640
2002-05-10,152280
2002-05-13,276540
2002-05-14,131820
2002-05-15,382620
2002-05-16,155100
2002-05-17,169740
2002-05-20,221940
2002-05-21,127620
2002-05-22,175680
2002-05-23,401580
2002-05-24,110100
2002-05-28,172080
2002-05-29,151380
2002-05-30,193560
2002-05-31,172560
2002-06-03,121080
2002-06-04,75180
2002-06-05,83700
2002-06-06,80100
2002-06-07,108780
2002-06-10,131760
2002-06-11,129360
2002-06-12,125580
2002-06-13,63840
2002-06-14,128520
2002-06-17,73860
2002-06-18,96660
2002-06-19,88080
2002-06-20,243360
2002-06-21,126600
2002-06-24,71820
2002-06-25,81600
2002-06-26,80700
2002-06-27,84960
2002-06-28,141540
2002-07-01,81360
2002-07-02,53220
2002-07-03,76080
2002-07-05,43320
2002-07-08,79980
2002-07-09,62580
2002-07-10,118620
2002-07-11,169320
2002-07-12,52140
2002-07-15,136680
2002-07-16,145140
2002-07-17,78840
2002-07-18,87900
2002-07-19,79140
2002-07-22,102540
2002-07-23,112980
2002-07-24,209520
2002-07-25,97560
2002-07-26,90960
2002-07-29,245820
2002-07-30,90840
2002-07-31,48780
2002-08-01,76320
2002-08-02,105900
2002-08-05,78300
2002-08-06,77460
2002-08-07,97200
2002-08-08,77160
2002-08-09,54900
2002-08-12,61920
2002-08-13,97560
2002-08-14,100680
2002-08-15,85080
2002-08-16,28740
2002-08-19,23760
2002-08-20,149340
2002-08-21,136020
2002-08-22,142800
2002-08-23,104400
2002-08-26,162900
2002-08-27,242880
2002-08-28,173940
2002-08-29,327720
2002-08-30,51420
2002-09-03,202200
2002-09-04,156660
2002-09-05,65220
2002-09-06,87960
2002-09-09,143220
2002-09-10,183660
2002-09-11,130320
2002-09-12,91200
2002-09-13,48120
2002-09-16,46740
2002-09-17,152520
2002-09-18,112800
2002-09-19,122700
2002-09-20,124380
2002-09-23,134760
2002-09-24,90960
2002-09-25,91260
2002-09-26,88800
2002-09-27,45960
2002-09-30,64500
2002-10-01,132780
2002-10-02,115080
2002-10-03,174900
2002-10-04,143940
2002-10-07,74280
2002-10-08,22440
2002-10-09,79200
2002-10-10,96720
2002-10-11,182640
2002-10-14,48420
2002-10-15,130980
2002-10-16,64560
2002-10-17,88560
2002-10-18,80220
2002-10-21,76200
2002-10-22,71700
2002-10-23,90960
2002-10-24,115980
2002-10-25,77700
2002-10-28,76200
2002-10-29,99120
2002-10-30,120840
2002-10-31,118260
2002-11-01,104520
2002-11-04,266580
2002-11-05,134220
2002-11-06,75060
2002-11-07,79260
2002-11-08,73740
2002-11-11,89520
2002-11-12,145620
2002-11-13,164640
2002-11-14,228360
2002-11-15,55800
2002-11-18,159120
2002-11-19,159300
2002-11-20,207300
2002-11-21,765420
2002-11-22,261420
2002-11-25,339780
2002-11-26,268920
2002-11-27,304140
2002-11-29,77520
2002-12-02,280680
2002-12-03,341220
2002-12-04,328740
2002-12-05,127260
2002-12-06,60720
2002-12-09,158220
2002-12-10,173520
2002-12-11,283440
2002-12-12,113160
2002-12-13,213900
2002-12-16,384300
2002-12-17,259620
2002-12-18,149820
2002-12-19,66660
2002-12-20,57000
2002-12-23,56940
2002-12-24,24120
2002-12-26,27240
2002-12-27,75420
2002-12-30,66960
2002-12-31,35640
2003-01-02,71940
2003-01-03,95940
2003-01-06,115860
2003-01-07,106920
2003-01-08,162300
2003-01-09,404520
2003-01-10,292560
2003-01-13,110340
2003-01-14,120360
2003-01-15,99600
2003-01-16,83160
2003-01-17,221160
2003-01-21,221700
2003-01-22,352620
2003-01-23,192600
2003-01-24,157860
2003-01-27,144660
2003-01-28,103080
2003-01-29,112440
2003-01-30,145560
2003-01-31,98400
2003-02-03,47400
2003-02-04,50580
2003-02-05,104100
2003-02-06,106620
2003-02-07,54300
2003-02-10,123120
2003-02-11,273300
2003-02-12,197280
2003-02-13,224940
2003-02-14,89820
2003-02-18,118680
2003-02-19,86340
2003-02-20,34740
2003-02-21,188520
2003-02-24,125220
2003-02-25,265260
2003-02-26,153000
2003-02-27,75900
2003-02-28,199800
2003-03-03,261780
2003-03-04,217320
2003-03-05,245220
2003-03-06,91920
2003-03-07,150240
2003-03-10,262200
2003-03-11,183180
2003-03-12,165720
2003-03-13,133320
2003-03-14,85260
2003-03-17,103440
2003-03-18,130680
2003-03-19,80880
2003-03-20,93780
2003-03-21,207120
2003-03-24,187620
2003-03-25,114600
2003-03-26,203760
2003-03-27,815880
2003-03-28,277920
2003-03-31,128520
2003-04-01,152760
2003-04-02,129720
2003-04-03,102720
2003-04-04,64320
2003-04-07,258480
2003-04-08,121440
2003-04-09,298620
2003-04-10,112200
2003-04-11,59220
2003-04-14,270540
2003-04-15,272340
2003-04-16,108720
2003-04-17,108180
2003-04-21,98640
2003-04-22,38880
2003-04-23,674820
2003-04-24,403860
2003-04-25,62760
2003-04-28,258060
2003-04-29,202620
2003-04-30,246480
2003-05-01,64740
2003-05-02,54600
2003-05-05,45960
2003-05-06,61500
2003-05-07,120120
2003-05-08,126540
2003-05-09,107580
2003-05-12,143880
2003-05-13,191880
2003-05-14,181020
2003-05-15,142080
2003-05-16,108480
2003-05-19,184380
2003-05-20,208560
2003-05-21,124500
2003-05-22,198720
2003-05-23,209940
2003-05-27,192240
2003-05-28,81060
2003-05-29,216360
2003-05-30,140880
2003-06-02,70920
2003-06-03,218580
2003-06-04,213120
2003-06-05,152880
2003-06-06,134820
2003-06-09,154740
2003-06-10,178680
2003-06-11,62760
2003-06-12,94320
2003-06-13,72720
2003-06-16,143160
2003-06-17,201300
2003-06-18,180780
2003-06-19,88140
2003-06-20,67500
2003-06-23,112560
2003-06-24,91560
2003-06-25,114480
2003-06-26,139200
2003-06-27,125580
2003-06-30,121680
2003-07-01,151560
2003-07-02,165120
2003-07-03,109920
2003-07-07,88860
2003-07-08,185280
2003-07-09,256200
2003-07-10,195300
2003-07-11,269880
2003-07-14,99600
2003-07-15,190200
2003-07-16,497520
2003-07-17,741420
2003-07-18,490320
2003-07-21,298020
2003-07-22,219900
2003-07-23,122820
2003-07-24,140280
2003-07-25,93720
2003-07-28,86040
2003-07-29,94380
2003-07-30,129600
2003-07-31,136320
2003-08-01,66480
2003-08-04,108000
2003-08-05,278820
2003-08-06,158640
2003-08-07,257880
2003-08-08,48660
2003-08-11,202140
2003-08-12,108000
2003-08-13,139500
2003-08-14,171360
2003-08-15,41100
2003-08-18,367380
2003-08-19,117000
2003-08-20,152580
2003-08-21,214440
2003-08-22,108780
2003-08-25,103980
2003-08-26,261720
2003-08-27,180420
2003-08-28,422700
2003-08-29,307620
2003-09-02,370260
2003-09-03,244200
2003-09-04,212820
2003-09-05,135180
2003-09-08,79260
2003-09-09,318660
2003-09-10,162480
2003-09-11,159480
2003-09-12,89400
2003-09-15,136320
2003-09-16,159780
2003-09-17,168600
2003-09-18,213840
2003-09-19,122700
2003-09-22,70380
2003-09-23,111420
2003-09-24,313920
2003-09-25,182400
2003-09-26,187440
2003-09-29,211500
2003-09-30,199380
2003-10-01,371220
2003-10-02,275820
2003-10-03,266820
2003-10-06,241380
2003-10-07,379800
2003-10-08,426840
2003-10-09,338160
2003-10-10,268620
2003-10-13,240180
2003-10-14,286440
2003-10-15,108840
2003-10-16,95280
2003-10-17,173640
2003-10-20,152280
2003-10-21,217020
2003-10-22,381060
2003-10-23,353280
2003-10-24,186840
2003-10-27,403440
2003-10-28,265440
2003-10-29,328080
2003-10-30,846900
2003-10-31,424740
2003-11-03,439920
2003-11-04,215640
2003-11-05,246720
2003-11-06,151260
2003-11-07,161160
2003-11-10,276540
2003-11-11,239760
2003-11-12,281100
2003-11-13,111300
2003-11-14,158520
2003-11-17,189420
2003-11-18,443340
2003-11-19,669600
2003-11-20,568320
2003-11-21,265500
2003-11-24,279180
2003-11-25,166440
2003-11-26,209760
2003-11-28,105900
2003-12-01,166140
2003-12-02,411900
2003-12-03,226800
2003-12-04,135660
2003-12-05,102900
2003-12-08,83400
2003-12-09,98520
2003-12-10,194160
2003-12-11,253500
2003-12-12,272100
2003-12-15,233340
2003-12-16,184020
2003-12-17,189240
2003-12-18,194640
2003-12-19,205140
2003-12-22,75540
2003-12-23,128280
2003-12-24,28200
2003-12-26,10500
2003-12-29,108540
2003-12-30,150060
2003-12-31,382860
2004-01-02,186300
2004-01-05,315000
2004-01-06,361620
2004-01-07,105420
2004-01-08,204120
2004-01-09,115860
2004-01-12,171840
2004-01-13,290220
2004-01-14,1246380
2004-01-15,904020
2004-01-16,283020
2004-01-20,326700
2004-01-21,310560
2004-01-22,354780
2004-01-23,396420
2004-01-26,123840
2004-01-27,166800
2004-01-28,334260
2004-01-29,309720
2004-01-30,169560
2004-02-02,206760
2004-02-03,269040
2004-02-04,720540
2004-02-05,341940
2004-02-06,571320
2004-02-09,441420
2004-02-10,274260
2004-02-11,349860
2004-02-12,335280
2004-02-13,393900
2004-02-17,743220
2004-02-18,548760
2004-02-19,185580
2004-02-20,192480
2004-02-23,126120
2004-02-24,296460
2004-02-25,122940
2004-02-26,156300
2004-02-27,186960
2004-03-01,214740
2004-03-02,237960
2004-03-03,152520
2004-03-04,226860
2004-03-05,283800
2004-03-08,286320
2004-03-09,456660
2004-03-10,385020
2004-03-11,250980
2004-03-12,209340
2004-03-15,258420
2004-03-16,231900
2004-03-17,160380
2004-03-18,200760
2004-03-19,280080
2004-03-22,235080
2004-03-23,147960
2004-03-24,215640
2004-03-25,902760
2004-03-26,294300
2004-03-29,487020
2004-03-30,198120
2004-03-31,264720
2004-04-01,215760
2004-04-02,168120
2004-04-05,204960
2004-04-06,195120
2004-04-07,298920
2004-04-08,185160
2004-04-12,198840
2004-04-13,576600
2004-04-14,234000
2004-04-15,172740
2004-04-16,159540
2004-04-19,303960
2004-04-20,210780
2004-04-21,592020
2004-04-22,242220
2004-04-23,312480
2004-04-26,243240
2004-04-27,157920
2004-04-28,278460
2004-04-29,481620
2004-04-30,273000
2004-05-03,449100
2004-05-04,650880
2004-05-05,192420
2004-05-06,223680
2004-05-07,426900
2004-05-10,335940
2004-05-11,333120
2004-05-12,338400
2004-05-13,320640
2004-05-14,163260
2004-05-17,195960
2004-05-18,293160
2004-05-19,363600
2004-05-20,186120
2004-05-21,208680
2004-05-24,242760
2004-05-25,287580
2004-05-26,281220
2004-05-27,365100
2004-05-28,333060
2004-06-01,316740
2004-06-02,174960
2004-06-03,208140
2004-06-04,113580
2004-06-07,282480
2004-06-08,124500
2004-06-09,289680
2004-06-10,121560
2004-06-14,134700
2004-06-15,183540
2004-06-16,165960
2004-06-17,409200
2004-06-18,214740
2004-06-21,174840
2004-06-22,147960
2004-06-23,156300
2004-06-24,150840
2004-06-25,76740
2004-06-28,121860
2004-06-29,189420
2004-06-30,123480
2004-07-01,278400
2004-07-02,116760
2004-07-06,232740
2004-07-07,251280
2004-07-08,271080
2004-07-09,247560
2004-07-12,449940
2004-07-13,185100
2004-07-14,187560
2004-07-15,292920
2004-07-16,189660
2004-07-19,117000
2004-07-20,178740
2004-07-21,245520
2004-07-22,546540
2004-07-23,251760
2004-07-26,266580
2004-07-27,242220
2004-07-28,668820
2004-07-29,279720
2004-07-30,225840
2004-08-02,304260
2004-08-03,239040
2004-08-04,295560
2004-08-05,297780
2004-08-06,419940
2004-08-09,243540
2004-08-10,171660
2004-08-11,236520
2004-08-12,190800
2004-08-13,169740
2004-08-16,334920
2004-08-17,932820
2004-08-18,390480
2004-08-19,222960
2004-08-20,129660
2004-08-23,224820
2004-08-24,159060
2004-08-25,217140
2004-08-26,183240
2004-08-27,112740
2004-08-30,88200
2004-08-31,279240
2004-09-01,505560
2004-09-02,335040
2004-09-03,429900
2004-09-07,332160
2004-09-08,177360
2004-09-09,119940
2004-09-10,206520
2004-09-13,451020
2004-09-14,430440
2004-09-15,210960
2004-09-16,259920
2004-09-17,255360
2004-09-20,246780
2004-09-21,175380
2004-09-22,117900
2004-09-23,134520
2004-09-24,93840
2004-09-27,127440
2004-09-28,107940
2004-09-29,111180
2004-09-30,195120
2004-10-01,352500
2004-10-04,236940
2004-10-05,233760
2004-10-06,164580
2004-10-07,255720
2004-10-08,176940
2004-10-11,118080
2004-10-12,306840
2004-10-13,243720
2004-10-14,278160
2004-10-15,169320
2004-10-18,199680
2004-10-19,168540
2004-10-20,283680
2004-10-21,171180
2004-10-22,198480
2004-10-25,171360
2004-10-26,166920
2004-10-27,315060
2004-10-28,185940
2004-10-29,136140
2004-11-01,101820
2004-11-02,283740
2004-11-03,116520
2004-11-04,165840
2004-11-05,213600
2004-11-08,129720
2004-11-09,139860
2004-11-10,267600
2004-11-11,169200
2004-11-12,139980
2004-11-15,143820
2004-11-16,143340
2004-11-17,206220
2004-11-18,586380
2004-11-19,347220
