Date,low
2000-01-03,16.8125
2000-01-04,17.25
2000-01-05,16.5
2000-01-06,16.5625
2000-01-07,16.5
2000-01-10,18.1875
2000-01-11,18.4375
2000-01-12,19.0
2000-01-13,19.3125
2000-01-14,19.46875
2000-01-18,20.71875
2000-01-19,19.8125
2000-01-20,21.0625
2000-01-21,22.0
2000-01-24,23.9375
2000-01-25,21.5
2000-01-26,22.0
2000-01-27,20.625
2000-01-28,20.3125
2000-01-31,19.9375
2000-02-01,18.875
2000-02-02,19.75
2000-02-03,21.28125
2000-02-04,21.1875
2000-02-07,23.3125
2000-02-08,23.875
2000-02-09,24.0
2000-02-10,23.5625
2000-02-11,24.0
2000-02-14,24.9375
2000-02-15,25.625
2000-02-16,26.25
2000-02-17,27.5625
2000-02-18,29.75
2000-02-22,27.5
2000-02-23,27.875
2000-02-24,29.75
2000-02-25,30.09375
2000-02-28,30.0
2000-02-29,32.75
2000-03-01,36.5625
2000-03-02,37.53125
2000-03-03,37.9375
2000-03-06,41.625
2000-03-07,38.625
2000-03-08,35.5
2000-03-09,31.375
2000-03-10,31.75
2000-03-13,30.0
2000-03-14,24.0625
2000-03-15,24.0
2000-03-16,24.5
2000-03-17,27.125
2000-03-20,28.4375
2000-03-21,25.25
2000-03-22,27.5
2000-03-23,28.84375
2000-03-24,26.0
2000-03-27,27.125
2000-03-28,26.0
2000-03-29,25.4375
2000-03-30,23.15625
2000-03-31,21.34375
2000-04-03,22.4375
2000-04-04,19.75
2000-04-05,20.75
2000-04-06,25.1875
2000-04-07,26.078125
2000-04-10,23.6875
2000-04-11,21.25
2000-04-12,21.875
2000-04-13,21.625
2000-04-14,19.0
2000-04-17,18.875
2000-04-18,21.0625
2000-04-19,24.8125
2000-04-20,23.0
2000-04-24,21.25
2000-04-25,22.53125
2000-04-26,23.0
2000-04-27,22.5
2000-04-28,24.125
2000-05-01,26.0
2000-05-02,27.0625
2000-05-03,25.375
2000-05-04,26.25
2000-05-05,27.5625
2000-05-08,29.75
2000-05-09,30.59375
2000-05-10,28.4375
2000-05-11,33.0
2000-05-12,30.0
2000-05-15,30.5
2000-05-16,32.125
2000-05-17,31.59375
2000-05-18,32.25
2000-05-19,31.1875
2000-05-22,30.625
2000-05-23,31.5
2000-05-24,29.5
2000-05-25,30.0625
2000-05-26,31.3125
2000-05-30,32.0
2000-05-31,34.25
2000-06-01,37.0625
2000-06-02,39.78125
2000-06-05,39.0
2000-06-06,38.4375
2000-06-07,40.625
2000-06-08,40.25
2000-06-09,39.6875
2000-06-12,39.75
2000-06-13,39.5
2000-06-14,40.25
2000-06-15,39.625
2000-06-16,41.25
2000-06-19,45.4375
2000-06-20,48.0625
2000-06-21,48.125
2000-06-22,49.34375
2000-06-23,46.5
2000-06-26,48.625
2000-06-27,51.5
2000-06-28,54.0
2000-06-29,52.625
2000-06-30,48.125
2000-07-03,52.5
2000-07-05,52.0625
2000-07-06,56.25
2000-07-07,58.5
2000-07-10,59.625
2000-07-11,59.375
2000-07-12,62.8125
2000-07-13,57.75
2000-07-14,56.15625
2000-07-17,58.59375
2000-07-18,59.75
2000-07-19,57.53125
2000-07-20,57.0
2000-07-21,58.9375
2000-07-24,53.6875
2000-07-25,54.3125
2000-07-26,50.75
2000-07-27,52.0
2000-07-28,49.25
2000-07-31,46.875
2000-08-01,47.25
2000-08-02,50.0
2000-08-03,46.0
2000-08-04,53.53125
2000-08-07,57.0
2000-08-08,58.6875
2000-08-09,59.75
2000-08-10,55.125
2000-08-11,56.53125
2000-08-14,60.375
2000-08-15,59.75
2000-08-16,61.53125
2000-08-17,64.0
2000-08-18,68.5
2000-08-21,65.5625
2000-08-22,66.5
2000-08-23,68.0
2000-08-24,70.0
2000-08-25,77.0
2000-08-28,75.125
2000-08-29,75.0
2000-08-30,75.5
2000-08-31,81.515625
2000-09-01,83.125
2000-09-05,80.5
2000-09-06,76.0
2000-09-07,79.625
2000-09-08,83.25
2000-09-11,73.5
2000-09-12,75.5
2000-09-13,73.5
2000-09-14,75.875
2000-09-15,77.25
2000-09-18,77.625
2000-09-19,79.75
2000-09-20,82.25
2000-09-21,84.0
2000-09-22,80.0
2000-09-25,85.125
2000-09-26,80.5625
2000-09-27,85.125
2000-09-28,86.1875
2000-09-29,84.5
2000-10-02,80.125
2000-10-03,75.375
2000-10-04,68.5
2000-10-05,69.5
2000-10-06,63.5
2000-10-09,64.0
2000-10-10,70.1875
2000-10-11,69.375
2000-10-12,64.8125
2000-10-13,63.0
2000-10-16,70.5
2000-10-17,74.5625
2000-10-18,72.5
2000-10-19,77.5625
2000-10-20,73.0
2000-10-23,80.5
2000-10-24,91.125
2000-10-25,87.0
2000-10-26,89.625
2000-10-27,83.75
2000-10-30,86.4375
2000-10-31,89.0
2000-11-01,91.5
2000-11-02,95.375
2000-11-03,93.75
2000-11-06,91.0
2000-11-07,89.75
2000-11-08,92.0
2000-11-09,88.5
2000-11-10,86.0
2000-11-13,68.5625
2000-11-14,71.0
2000-11-15,72.125
2000-11-16,67.125
2000-11-17,59.0
2000-11-20,51.5
2000-11-21,53.8125
2000-11-22,52.625
2000-11-24,57.25
2000-11-27,68.625
2000-11-28,62.0
2000-11-29,60.25
2000-11-30,55.625
2000-12-01,58.625
2000-12-04,58.125
2000-12-05,64.375
2000-12-06,68.0
2000-12-07,67.0
2000-12-08,72.375
2000-12-11,78.125
2000-12-12,72.75
2000-12-13,72.8125
2000-12-14,73.0625
2000-12-15,70.0625
2000-12-18,75.625
2000-12-19,78.625
2000-12-20,71.75
2000-12-21,63.0
2000-12-22,66.25
2000-12-26,68.0
2000-12-27,67.125
2000-12-28,67.25
2000-12-29,68.5
2001-01-02,62.125
2001-01-03,56.0
2001-01-04,58.5625
2001-01-05,52.375
2001-01-08,45.25
2001-01-09,45.1875
2001-01-10,46.5
2001-01-11,51.5
2001-01-12,53.5
2001-01-16,57.0
2001-01-17,53.875
2001-01-18,53.75
2001-01-19,53.9375
2001-01-22,56.75
2001-01-23,60.3125
2001-01-24,68.1875
2001-01-25,66.3125
2001-01-26,66.25
2001-01-29,69.875
2001-01-30,67.75
2001-01-31,67.25
2001-02-01,62.8125
2001-02-02,59.875
2001-02-05,58.640625
2001-02-06,62.25
2001-02-07,62.265625
2001-02-08,62.625
2001-02-09,61.1875
2001-02-12,61.875
2001-02-13,60.25
2001-02-14,58.375
2001-02-15,60.25
2001-02-16,56.0
2001-02-20,52.6875
2001-02-21,50.625
2001-02-22,45.5
2001-02-23,44.75
2001-02-26,49.75
2001-02-27,49.5
2001-02-28,47.1875
2001-03-01,45.640625
2001-03-02,45.5
2001-03-05,45.125
2001-03-06,43.1875
2001-03-07,41.1875
2001-03-08,38.75
2001-03-09,36.25
2001-03-12,31.875
2001-03-13,32.125
2001-03-14,31.75
2001-03-15,31.640625
2001-03-16,30.875
2001-03-19,31.125
2001-03-20,31.75
2001-03-21,29.25
2001-03-22,25.625
2001-03-23,28.375
2001-03-26,32.125
