Date,volume
2014-04-17,32090000
2014-04-21,13428800
2014-04-22,10470300
2014-04-23,7597400
2014-04-24,4991500
2014-04-25,4236000
2014-04-28,7807800
2014-04-29,3033700
2014-04-30,4113300
2014-05-01,2864300
2014-05-02,1145400
2014-05-05,1101600
2014-05-06,1733300
2014-05-07,2267500
2014-05-08,1457600
2014-05-09,993300
2014-05-12,2130800
2014-05-13,2361700
2014-05-14,1018700
2014-05-15,845100
2014-05-16,949700
2014-05-19,649000
2014-05-20,947200
2014-05-21,1551400
2014-05-22,3836700
2014-05-23,1037800
2014-05-27,1026400
2014-05-28,1644900
2014-05-29,1936600
2014-05-30,970800
2014-06-02,439700
2014-06-03,380100
2014-06-04,898800
2014-06-05,817400
2014-06-06,547700
2014-06-09,587700
2014-06-10,2639200
2014-06-11,1061900
2014-06-12,2986200
2014-06-13,1269600
2014-06-16,962000
2014-06-17,3954300
2014-06-18,1885600
2014-06-19,1299100
2014-06-20,1124500
2014-06-23,1082400
2014-06-24,1515200
2014-06-25,784100
2014-06-26,701900
2014-06-27,455400
2014-06-30,596100
2014-07-01,1959200
2014-07-02,2293600
2014-07-03,961500
2014-07-07,1454500
2014-07-08,1741600
2014-07-09,1029000
2014-07-10,990200
2014-07-11,545100
2014-07-14,705700
2014-07-15,611200
2014-07-16,571300
2014-07-17,603800
2014-07-18,517300
2014-07-21,572800
2014-07-22,860100
2014-07-23,558600
2014-07-24,513500
2014-07-25,901600
2014-07-28,718000
2014-07-29,548600
2014-07-30,1328200
2014-07-31,834100
2014-08-01,846500
2014-08-04,636000
2014-08-05,318900
2014-08-06,338200
2014-08-07,324700
2014-08-08,287900
2014-08-11,553000
2014-08-12,541000
2014-08-13,1001500
2014-08-14,1927800
2014-08-15,2846200
2014-08-18,1246500
2014-08-19,769800
2014-08-20,720400
2014-08-21,678900
2014-08-22,427500
2014-08-25,274400
2014-08-26,270900
2014-08-27,294400
2014-08-28,396400
2014-08-29,778300
2014-09-02,795400
2014-09-03,630300
2014-09-04,1311100
2014-09-05,503100
2014-09-08,663300
2014-09-09,4546200
2014-09-10,986800
2014-09-11,8967300
2014-09-12,6205800
2014-09-15,5299200
2014-09-16,2630500
2014-09-17,1702200
2014-09-18,1447500
2014-09-19,2614600
2014-09-22,2354300
2014-09-23,1404900
2014-09-24,696100
2014-09-25,1362500
2014-09-26,638400
2014-09-29,647100
2014-09-30,951400
2014-10-01,1302400
2014-10-02,968200
2014-10-03,968000
2014-10-06,910100
2014-10-07,1035800
2014-10-08,1171000
2014-10-09,992600
2014-10-10,950000
2014-10-13,898300
2014-10-14,896200
2014-10-15,941100
2014-10-16,698000
2014-10-17,1137200
2014-10-20,558800
2014-10-21,500200
2014-10-22,419600
2014-10-23,403600
2014-10-24,573800
2014-10-27,316100
2014-10-28,612900
2014-10-29,252400
2014-10-30,404200
2014-10-31,1072500
2014-11-03,665600
2014-11-04,866300
2014-11-05,655500
2014-11-06,290000
2014-11-07,472800
2014-11-10,555300
2014-11-11,315000
2014-11-12,408600
2014-11-13,1347000
2014-11-14,2315900
2014-11-17,910800
2014-11-18,773800
2014-11-19,459800
2014-11-20,696900
2014-11-21,400800
2014-11-24,713300
2014-11-25,745900
2014-11-26,805100
2014-11-28,227300
2014-12-01,807600
2014-12-02,686900
2014-12-03,290300
2014-12-04,401100
2014-12-05,241200
2014-12-08,1017500
2014-12-09,944400
2014-12-10,705300
2014-12-11,841400
2014-12-12,1200600
2014-12-15,651600
2014-12-16,900900
2014-12-17,961100
2014-12-18,1139700
2014-12-19,699800
2014-12-22,454900
2014-12-23,341500
2014-12-24,228100
2014-12-26,149600
2014-12-29,291000
2014-12-30,346000
2014-12-31,487100
2015-01-02,305600
2015-01-05,282600
2015-01-06,344300
2015-01-07,530600
2015-01-08,349900
2015-01-09,306500
2015-01-12,749500
2015-01-13,516200
2015-01-14,423900
2015-01-15,530300
2015-01-16,424800
2015-01-20,357200
2015-01-21,721900
2015-01-22,282600
2015-01-23,244400
2015-01-26,258000
2015-01-27,225200
2015-01-28,382800
2015-01-29,358000
2015-01-30,324500
2015-02-02,456400
2015-02-03,607800
2015-02-04,385600
2015-02-05,693200
2015-02-06,382100
2015-02-09,318100
2015-02-10,321400
2015-02-11,975600
2015-02-12,690000
2015-02-13,582200
2015-02-17,330800
2015-02-18,741600
2015-02-19,437500
2015-02-20,368900
2015-02-23,317200
2015-02-24,286200
2015-02-25,266400
2015-02-26,243700
2015-02-27,329300
2015-03-02,234800
2015-03-03,487300
2015-03-04,431000
2015-03-05,774100
2015-03-06,503300
2015-03-09,459500
2015-03-10,1336200
2015-03-11,1881600
2015-03-12,1343300
2015-03-13,669800
2015-03-16,1218100
2015-03-17,457500
2015-03-18,396200
2015-03-19,527600
2015-03-20,376700
2015-03-23,578900
2015-03-24,320200
2015-03-25,257300
2015-03-26,410700
2015-03-27,507500
2015-03-30,400000
2015-03-31,355200
2015-04-01,341500
2015-04-02,255700
2015-04-06,216600
2015-04-07,400700
2015-04-08,3206200
2015-04-09,938300
2015-04-10,632200
2015-04-13,686700
2015-04-14,448900
2015-04-15,1170600
2015-04-16,467100
2015-04-17,606400
2015-04-20,650700
2015-04-21,313000
2015-04-22,1433200
2015-04-23,703300
2015-04-24,2903800
2015-04-27,1034400
2015-04-28,1023800
2015-04-29,520600
2015-04-30,541700
2015-05-01,557100
2015-05-04,277900
2015-05-05,622500
2015-05-06,586200
2015-05-07,428700
2015-05-08,282300
2015-05-11,516400
2015-05-12,392200
2015-05-13,204800
2015-05-14,1050000
2015-05-15,861400
2015-05-18,1983300
2015-05-19,885300
2015-05-20,754200
