Date,volume
2025-09-17,11627200
2025-09-18,2149900
2025-09-19,1590800
2025-09-22,1050000
2025-09-23,1255100
2025-09-24,1011900
2025-09-25,857600
2025-09-26,1052500
2025-09-29,1908500
2025-09-30,1954500
2025-10-01,1485500
2025-10-02,978400
2025-10-03,1052300
2025-10-06,747900
2025-10-07,615100
2025-10-08,504900
2025-10-09,535600
2025-10-10,833600
2025-10-13,674300
2025-10-14,932600
2025-10-15,384700
2025-10-16,627500
2025-10-17,516600
2025-10-20,483500
2025-10-21,587600
2025-10-22,555900
2025-10-23,267000
2025-10-24,276600
2025-10-27,684200
2025-10-28,222800
2025-10-29,343800
2025-10-30,639300
2025-10-31,550700
2025-11-03,340100
2025-11-04,427800
2025-11-05,445400
2025-11-06,196500
2025-11-07,680200
2025-11-10,633600
2025-11-11,527700
2025-11-12,599800
2025-11-13,546600
2025-11-14,501600
2025-11-17,480400
2025-11-18,445400
2025-11-19,645300
2025-11-20,752100
2025-11-21,314700
2025-11-24,447900
2025-11-25,353300
2025-11-26,451600
2025-11-28,122400
2025-12-01,333100
2025-12-02,405500
2025-12-03,357400
2025-12-04,438000
2025-12-05,300900
2025-12-08,317100
2025-12-09,241900
2025-12-10,363000
2025-12-11,293900
2025-12-12,520800
2025-12-15,385300
2025-12-16,796400
2025-12-17,637900
2025-12-18,572700
2025-12-19,655400
2025-12-22,628500
2025-12-23,492000
2025-12-24,236400
2025-12-26,436800
2025-12-29,423600
2025-12-30,675800
2025-12-31,544600
2026-01-02,798800
2026-01-05,689000
2026-01-06,762000
2026-01-07,716300
2026-01-08,733100
2026-01-09,332800
2026-01-12,492100
2026-01-13,634700
2026-01-14,1121100
2026-01-15,585300
2026-01-16,290900
2026-01-20,610800
2026-01-21,798000
2026-01-22,398300
2026-01-23,351600
2026-01-26,476900
2026-01-27,363100
2026-01-28,466700
2026-01-29,494100
2026-01-30,362200
2026-02-02,291700
2026-02-03,353700
2026-02-04,789400
2026-02-05,437200
2026-02-06,810500
2026-02-09,856500
2026-02-10,864100
2026-02-11,771100
2026-02-12,511900
2026-02-13,477700
2026-02-17,512700
2026-02-18,745500
2026-02-19,927100
2026-02-20,537800
2026-02-23,452000
2026-02-24,653300
2026-02-25,576500
2026-02-26,1066000
2026-02-27,1106100
2026-03-02,767400
2026-03-03,1288600
2026-03-04,776200
2026-03-05,629800
2026-03-06,457000
2026-03-09,372700
2026-03-10,1502500
2026-03-11,1112400
2026-03-12,479200
2026-03-13,614500
2026-03-16,1546500
2026-03-17,5261000
2026-03-18,1930200
2026-03-19,1444000
2026-03-20,1186700
2026-03-23,1117100
2026-03-24,1485700
2026-03-25,749900
2026-03-26,684300
2026-03-27,1548401
