Date,volume
2000-01-03,98200
2000-01-04,163400
2000-01-05,185400
2000-01-06,94800
2000-01-07,110400
2000-01-10,116800
2000-01-11,94200
2000-01-12,90400
2000-01-13,120400
2000-01-14,120600
2000-01-18,208800
2000-01-19,61800
2000-01-20,151800
2000-01-21,154600
2000-01-24,196800
2000-01-25,144000
2000-01-26,95000
2000-01-27,103600
2000-01-28,88200
2000-01-31,193200
2000-02-01,184200
2000-02-02,53200
2000-02-03,179800
2000-02-04,141000
2000-02-07,73000
2000-02-08,116400
2000-02-09,135800
2000-02-10,145800
2000-02-11,170200
2000-02-14,69600
2000-02-15,62000
2000-02-16,135600
2000-02-17,65200
2000-02-18,128400
2000-02-22,159600
2000-02-23,193800
2000-02-24,277000
2000-02-25,180200
2000-02-28,98000
2000-02-29,42200
2000-03-01,46800
2000-03-02,135600
2000-03-03,107800
2000-03-06,88800
2000-03-07,134000
2000-03-08,204600
2000-03-09,235200
2000-03-10,80000
2000-03-13,274400
2000-03-14,551400
2000-03-15,632200
2000-03-16,254800
2000-03-17,116600
2000-03-20,43600
2000-03-21,115800
2000-03-22,115600
2000-03-23,77400
2000-03-24,61200
2000-03-27,80000
2000-03-28,34400
2000-03-29,53400
2000-03-30,136800
2000-03-31,275400
2000-04-03,128400
2000-04-04,178200
2000-04-05,88000
2000-04-06,91600
2000-04-07,50600
2000-04-10,117800
2000-04-11,118400
2000-04-12,116400
2000-04-13,141000
2000-04-14,157200
2000-04-17,161200
2000-04-18,169600
2000-04-19,70000
2000-04-20,93000
2000-04-24,59000
2000-04-25,126800
2000-04-26,59200
2000-04-27,126800
2000-04-28,73400
2000-05-01,70000
2000-05-02,94200
2000-05-03,145600
2000-05-04,130000
2000-05-05,37400
2000-05-08,55400
2000-05-09,65400
2000-05-10,35200
2000-05-11,90400
2000-05-12,35600
2000-05-15,113800
2000-05-16,78400
2000-05-17,97600
2000-05-18,29800
2000-05-19,56400
2000-05-22,70000
2000-05-23,103400
2000-05-24,156800
2000-05-25,82000
2000-05-26,40400
2000-05-30,122200
2000-05-31,237600
2000-06-01,78000
2000-06-02,107000
2000-06-05,148800
2000-06-06,81000
2000-06-07,261400
2000-06-08,126000
2000-06-09,125400
2000-06-12,173600
2000-06-13,202600
2000-06-14,305600
2000-06-15,171600
2000-06-16,183200
2000-06-19,105800
2000-06-20,33400
2000-06-21,108800
2000-06-22,149600
2000-06-23,352200
2000-06-26,75600
2000-06-27,238200
2000-06-28,369200
2000-06-29,350600
2000-06-30,169600
2000-07-03,96000
2000-07-05,84800
2000-07-06,106600
2000-07-07,27800
2000-07-10,132400
2000-07-11,361600
2000-07-12,72200
2000-07-13,75000
2000-07-14,83400
2000-07-17,226400
2000-07-18,140200
2000-07-19,59800
2000-07-20,142600
2000-07-21,108600
2000-07-24,97200
2000-07-25,99000
2000-07-26,43400
2000-07-27,18800
2000-07-28,51400
2000-07-31,80800
2000-08-01,38200
2000-08-02,60800
2000-08-03,93200
2000-08-04,163600
2000-08-07,138400
2000-08-08,62400
2000-08-09,100000
2000-08-10,70600
2000-08-11,614800
2000-08-14,438000
2000-08-15,97600
2000-08-16,64600
2000-08-17,95400
2000-08-18,13400
2000-08-21,250600
2000-08-22,243800
2000-08-23,93600
2000-08-24,87400
2000-08-25,84400
2000-08-28,38600
2000-08-29,150000
2000-08-30,43400
2000-08-31,44600
2000-09-01,75800
2000-09-05,704000
2000-09-06,255200
2000-09-07,106800
2000-09-08,104000
2000-09-11,62800
2000-09-12,95600
2000-09-13,94400
2000-09-14,68800
2000-09-15,82600
2000-09-18,69800
2000-09-19,106800
2000-09-20,150400
2000-09-21,153600
2000-09-22,187200
2000-09-25,62200
2000-09-26,90800
2000-09-27,67000
2000-09-28,119600
2000-09-29,122200
2000-10-02,53800
2000-10-03,59000
2000-10-04,126600
2000-10-05,93600
2000-10-06,50400
2000-10-09,65000
2000-10-10,57600
2000-10-11,167800
2000-10-12,89400
2000-10-13,129400
2000-10-16,91000
2000-10-17,94200
2000-10-18,83000
2000-10-19,103200
2000-10-20,67800
2000-10-23,85600
2000-10-24,43200
2000-10-25,69400
2000-10-26,77400
2000-10-27,43200
2000-10-30,86000
2000-10-31,269400
2000-11-01,184000
2000-11-02,105000
2000-11-03,84000
2000-11-06,151400
2000-11-07,98000
2000-11-08,77000
2000-11-09,60800
2000-11-10,98600
2000-11-13,181400
2000-11-14,72400
2000-11-15,54800
2000-11-16,90600
2000-11-17,36400
2000-11-20,118200
2000-11-21,81800
2000-11-22,81200
2000-11-24,26200
2000-11-27,92000
2000-11-28,101800
2000-11-29,81400
2000-11-30,128600
2000-12-01,300400
2000-12-04,163200
2000-12-05,110400
2000-12-06,97200
2000-12-07,54400
2000-12-08,103800
2000-12-11,183800
2000-12-12,378800
2000-12-13,177400
2000-12-14,87200
2000-12-15,125600
2000-12-18,268200
2000-12-19,123600
2000-12-20,243000
2000-12-21,165400
2000-12-22,150200
2000-12-26,245200
2000-12-27,228400
2000-12-28,144000
2000-12-29,84600
2001-01-02,128400
2001-01-03,154600
2001-01-04,260400
2001-01-05,56400
2001-01-08,103000
2001-01-09,106000
2001-01-10,145800
2001-01-11,61800
2001-01-12,83600
2001-01-16,84000
2001-01-17,82200
2001-01-18,167200
2001-01-19,149000
2001-01-22,48800
2001-01-23,104800
2001-01-24,31400
2001-01-25,29200
2001-01-26,113200
2001-01-29,44400
2001-01-30,79200
2001-01-31,105800
2001-02-01,58000
2001-02-02,38400
2001-02-05,42800
2001-02-06,71000
2001-02-07,23400
2001-02-08,74200
2001-02-09,38800
2001-02-12,56400
2001-02-13,67800
2001-02-14,31000
2001-02-15,97800
2001-02-16,45600
2001-02-20,51400
2001-02-21,39000
2001-02-22,35800
2001-02-23,60000
2001-02-26,101600
2001-02-27,104600
2001-02-28,77800
2001-03-01,301000
2001-03-02,194600
2001-03-05,90600
2001-03-06,68600
2001-03-07,67000
2001-03-08,67600
2001-03-09,35200
2001-03-12,114400
2001-03-13,232800
2001-03-14,104600
2001-03-15,213400
2001-03-16,79200
2001-03-19,64400
2001-03-20,34200
2001-03-21,43000
2001-03-22,87200
2001-03-23,56800
2001-03-26,36000
2001-03-27,61800
2001-03-28,85600
2001-03-29,112000
2001-03-30,133200
2001-04-02,84600
2001-04-03,153600
2001-04-04,104000
2001-04-05,74400
2001-04-06,76800
2001-04-09,52600
2001-04-10,45800
2001-04-11,37800
2001-04-12,44200
2001-04-16,24000
2001-04-17,18000
2001-04-18,129800
2001-04-19,53400
2001-04-20,65000
2001-04-23,80400
2001-04-24,96800
2001-04-25,43400
2001-04-26,91600
2001-04-27,121400
2001-04-30,131200
2001-05-01,74800
2001-05-02,44800
2001-05-03,57600
2001-05-04,48600
2001-05-07,39600
2001-05-08,138600
2001-05-09,70000
2001-05-10,29800
2001-05-11,178800
2001-05-14,57400
2001-05-15,56400
2001-05-16,275800
2001-05-17,146000
2001-05-18,72600
2001-05-21,136200
2001-05-22,288400
2001-05-23,237000
2001-05-24,130800
2001-05-25,446400
2001-05-29,97600
2001-05-30,269000
2001-05-31,322400
2001-06-01,54600
2001-06-04,85800
