Date,volume
2000-01-03,47000
2000-01-04,170700
2000-01-05,199900
2000-01-06,147300
2000-01-07,185600
2000-01-10,106000
2000-01-11,26200
2000-01-12,32600
2000-01-13,131200
2000-01-14,179000
2000-01-18,46100
2000-01-19,71200
2000-01-20,47100
2000-01-21,157700
2000-01-24,104600
2000-01-25,43900
2000-01-26,43200
2000-01-27,72300
2000-01-28,33100
2000-01-31,22100
2000-02-01,86300
2000-02-02,31700
2000-02-03,105500
2000-02-04,196200
2000-02-07,131000
2000-02-08,192100
2000-02-09,25000
2000-02-10,27600
2000-02-11,10000
2000-02-14,54100
2000-02-15,64800
2000-02-16,52300
2000-02-17,73400
2000-02-18,82000
2000-02-22,21900
2000-02-23,58600
2000-02-24,17500
2000-02-25,437500
2000-02-28,101700
2000-02-29,167600
2000-03-01,47800
2000-03-02,198100
2000-03-03,99800
2000-03-06,64400
2000-03-07,34300
2000-03-08,197900
2000-03-09,88200
2000-03-10,22800
2000-03-13,76600
2000-03-14,192200
2000-03-15,163700
2000-03-16,51500
2000-03-17,28200
2000-03-20,19400
2000-03-21,62900
2000-03-22,25400
2000-03-23,40100
2000-03-24,84000
2000-03-27,14400
2000-03-28,17500
2000-03-29,9100
2000-03-30,15300
2000-03-31,34300
2000-04-03,181100
2000-04-04,36200
2000-04-05,66700
2000-04-06,54300
2000-04-07,37300
2000-04-10,46600
2000-04-11,15300
2000-04-12,38200
2000-04-13,23000
2000-04-14,67700
2000-04-17,60200
2000-04-18,28200
2000-04-19,34900
2000-04-20,25700
2000-04-24,49300
2000-04-25,76000
2000-04-26,26600
2000-04-27,15700
2000-04-28,25400
2000-05-01,39100
2000-05-02,42900
2000-05-03,29200
2000-05-04,48400
2000-05-05,19200
2000-05-08,560800
2000-05-09,851500
2000-05-10,572100
2000-05-11,312400
2000-05-12,1413800
2000-05-15,1199900
2000-05-16,802000
2000-05-17,337700
2000-05-18,182800
2000-05-19,348700
2000-05-22,559100
2000-05-23,113800
2000-05-24,333400
2000-05-25,156300
2000-05-26,87200
2000-05-30,286500
2000-05-31,336300
2000-06-01,1129500
2000-06-02,867800
2000-06-05,561000
2000-06-06,866300
2000-06-07,226800
2000-06-08,127200
2000-06-09,65100
2000-06-12,96800
2000-06-13,172900
2000-06-14,96700
2000-06-15,198100
2000-06-16,306100
2000-06-19,175800
2000-06-20,274200
2000-06-21,130100
2000-06-22,57200
2000-06-23,133600
2000-06-26,218700
2000-06-27,242600
2000-06-28,260900
2000-06-29,97800
2000-06-30,104800
2000-07-03,45000
2000-07-05,74900
2000-07-06,86900
2000-07-07,118600
2000-07-10,114300
2000-07-11,73200
2000-07-12,104500
2000-07-13,34700
2000-07-14,135300
2000-07-17,19400
2000-07-18,85900
2000-07-19,102900
2000-07-20,89400
2000-07-21,64600
2000-07-24,95100
2000-07-25,37300
2000-07-26,167100
2000-07-27,132300
2000-07-28,46600
2000-07-31,90100
2000-08-01,121900
2000-08-02,132600
2000-08-03,105300
2000-08-04,98800
2000-08-07,54400
2000-08-08,35800
2000-08-09,19400
2000-08-10,23800
2000-08-11,20000
2000-08-14,39300
2000-08-15,24400
2000-08-16,48800
2000-08-17,34900
2000-08-18,48000
2000-08-21,29300
2000-08-22,112300
2000-08-23,54500
2000-08-24,54200
2000-08-25,77800
2000-08-28,24100
2000-08-29,17500
2000-08-30,62600
2000-08-31,96000
2000-09-01,116100
2000-09-05,24500
2000-09-06,37900
2000-09-07,91200
2000-09-08,53300
2000-09-11,36200
2000-09-12,79800
2000-09-13,79700
2000-09-14,95800
2000-09-15,102300
2000-09-18,138500
2000-09-19,89000
2000-09-20,98000
2000-09-21,123600
2000-09-22,92600
2000-09-25,116900
2000-09-26,132600
2000-09-27,75200
2000-09-28,166100
2000-09-29,167700
2000-10-02,295000
2000-10-03,155100
2000-10-04,591100
2000-10-05,290200
2000-10-06,230800
2000-10-09,86100
2000-10-10,245000
2000-10-11,768200
2000-10-12,440800
2000-10-13,645800
2000-10-16,848900
2000-10-17,154500
2000-10-18,486100
2000-10-19,259900
2000-10-20,310800
2000-10-23,379300
2000-10-24,860900
2000-10-25,875100
2000-10-26,445800
2000-10-27,623700
2000-10-30,391700
2000-10-31,963700
2000-11-01,183400
2000-11-02,221500
2000-11-03,134800
2000-11-06,167700
2000-11-07,283100
2000-11-08,374900
2000-11-09,486800
2000-11-10,319200
2000-11-13,416500
2000-11-14,190400
2000-11-15,354300
2000-11-16,163200
2000-11-17,175800
2000-11-20,73100
2000-11-21,145400
2000-11-22,106500
2000-11-24,114000
2000-11-27,195900
2000-11-28,280900
2000-11-29,348400
2000-11-30,359900
2000-12-01,221500
2000-12-04,184700
2000-12-05,499000
2000-12-06,658800
2000-12-07,224300
2000-12-08,782400
2000-12-11,716200
2000-12-12,225100
2000-12-13,355100
2000-12-14,130700
2000-12-15,168000
2000-12-18,140500
2000-12-19,412500
2000-12-20,263800
2000-12-21,145700
2000-12-22,79500
2000-12-26,73400
2000-12-27,80300
2000-12-28,68000
2000-12-29,195600
2001-01-02,236900
2001-01-03,285700
2001-01-04,703400
2001-01-05,468700
2001-01-08,429500
2001-01-09,294900
2001-01-10,232300
2001-01-11,543000
2001-01-12,258700
2001-01-16,177300
2001-01-17,528300
2001-01-18,306000
2001-01-19,576400
2001-01-22,318400
2001-01-23,458600
2001-01-24,229200
2001-01-25,157700
2001-01-26,173700
2001-01-29,157300
2001-01-30,102400
2001-01-31,154000
2001-02-01,267400
2001-02-02,83900
2001-02-05,42000
2001-02-06,69300
2001-02-07,113400
2001-02-08,94700
2001-02-09,115100
2001-02-12,364400
2001-02-13,33300
2001-02-14,56200
2001-02-15,49300
2001-02-16,22900
2001-02-20,80900
2001-02-21,174500
2001-02-22,264800
2001-02-23,290300
2001-02-26,249900
2001-02-27,174500
2001-02-28,239600
2001-03-01,140800
2001-03-02,110200
2001-03-05,134500
2001-03-06,200200
2001-03-07,56200
2001-03-08,310100
2001-03-09,85800
2001-03-12,109900
2001-03-13,179400
2001-03-14,193700
2001-03-15,99900
2001-03-16,62800
2001-03-19,118000
2001-03-20,69200
2001-03-21,92000
2001-03-22,200100
2001-03-23,175900
2001-03-26,93500
2001-03-27,56400
2001-03-28,46000
2001-03-29,188600
2001-03-30,87900
2001-04-02,159300
2001-04-03,129800
2001-04-04,125700
2001-04-05,154500
2001-04-06,42400
2001-04-09,66900
2001-04-10,95500
2001-04-11,139000
2001-04-12,47500
2001-04-16,32500
2001-04-17,104300
2001-04-18,233500
2001-04-19,383600
2001-04-20,196500
2001-04-23,178700
2001-04-24,70400
2001-04-25,99800
2001-04-26,157400
2001-04-27,321300
2001-04-30,428900
2001-05-01,243700
2001-05-02,104700
2001-05-03,292100
2001-05-04,114900
2001-05-07,38200
2001-05-08,124400
2001-05-09,79800
2001-05-10,95700
2001-05-11,37100
2001-05-14,110600
2001-05-15,55700
2001-05-16,190400
2001-05-17,373600
2001-05-18,154300
2001-05-21,340800
2001-05-22,588800
2001-05-23,342000
2001-05-24,60100
2001-05-25,35000
2001-05-29,72100
2001-05-30,22500
2001-05-31,85300
2001-06-01,43300
2001-06-04,41500
2001-06-05,100800
2001-06-06,137900
2001-06-07,34900
2001-06-08,130200
2001-06-11,137600
2001-06-12,73400
2001-06-13,199600
2001-06-14,141800
2001-06-15,323200
2001-06-18,95100
2001-06-19,79300
2001-06-20,57400
2001-06-21,118400
2001-06-22,129300
2001-06-25,168900
2001-06-26,103000
2001-06-27,55200
2001-06-28,158200
2001-06-29,81800
2001-07-02,170500
2001-07-03,188500
2001-07-05,168500
2001-07-06,85900
2001-07-09,74600
2001-07-10,64400
2001-07-11,477700
2001-07-12,75000
2001-07-13,138600
2001-07-16,54700
2001-07-17,38700
2001-07-18,107400
2001-07-19,199900
2001-07-20,46500
2001-07-23,20100
2001-07-24,66600
2001-07-25,65200
2001-07-26,145500
2001-07-27,56000
2001-07-30,91800
2001-07-31,92800
2001-08-01,132600
2001-08-02,129900
2001-08-03,95800
2001-08-06,117300
2001-08-07,63700
2001-08-08,61400
2001-08-09,80300
2001-08-10,64100
2001-08-13,65200
2001-08-14,66300
2001-08-15,32900
2001-08-16,388200
2001-08-17,211600
2001-08-20,166600
2001-08-21,239100
2001-08-22,119400
2001-08-23,113700
2001-08-24,211000
2001-08-27,68800
2001-08-28,33600
2001-08-29,29600
2001-08-30,179700
2001-08-31,30500
2001-09-04,28000
2001-09-05,97600
2001-09-06,189600
2001-09-07,60400
2001-09-10,62800
2001-09-17,837000
2001-09-18,930500
2001-09-19,253000
2001-09-20,168000
2001-09-21,388400
2001-09-24,498200
2001-09-25,693700
2001-09-26,580500
2001-09-27,186800
2001-09-28,351500
2001-10-01,78700
2001-10-02,154900
2001-10-03,324800
2001-10-04,538900
2001-10-05,449400
2001-10-08,135100
2001-10-09,96000
2001-10-10,114100
2001-10-11,115900
2001-10-12,91100
2001-10-15,58600
2001-10-16,35600
2001-10-17,124900
2001-10-18,345900
2001-10-19,289100
2001-10-22,273200
2001-10-23,432500
2001-10-24,200400
2001-10-25,691900
2001-10-26,597800
2001-10-29,72500
2001-10-30,193000
2001-10-31,178600
2001-11-01,227300
2001-11-02,178200
2001-11-05,162000
2001-11-06,65600
2001-11-07,68700
2001-11-08,646600
2001-11-09,129100
2001-11-12,121100
2001-11-13,831100
2001-11-14,428000
2001-11-15,290600
2001-11-16,231100
2001-11-19,70300
2001-11-20,180700
2001-11-21,129500
2001-11-23,96800
2001-11-26,606800
2001-11-27,322800
2001-11-28,453800
2001-11-29,277800
2001-11-30,216700
2001-12-03,512800
2001-12-04,349300
2001-12-05,385100
2001-12-06,543400
2001-12-07,349100
2001-12-10,222700
2001-12-11,168600
2001-12-12,288700
2001-12-13,156700
2001-12-14,107300
2001-12-17,171400
2001-12-18,248500
2001-12-19,124200
2001-12-20,151300
2001-12-21,70300
2001-12-24,13600
2001-12-26,43900
2001-12-27,49400
2001-12-28,83700
2001-12-31,102500
2002-01-02,147200
2002-01-03,217000
2002-01-04,334800
2002-01-07,158900
2002-01-08,72500
2002-01-09,126900
2002-01-10,268300
2002-01-11,246400
2002-01-14,82400
2002-01-15,86500
2002-01-16,245300
2002-01-17,223800
2002-01-18,139800
2002-01-22,110200
2002-01-23,193000
2002-01-24,72900
2002-01-25,117700
2002-01-28,76000
2002-01-29,198600
2002-01-30,90900
2002-01-31,111100
2002-02-01,141800
2002-02-04,130000
2002-02-05,88600
2002-02-06,59000
2002-02-07,94000
2002-02-08,215300
2002-02-11,100200
2002-02-12,139800
2002-02-13,115000
2002-02-14,115300
2002-02-15,167900
2002-02-19,161100
2002-02-20,199500
2002-02-21,149500
2002-02-22,189900
2002-02-25,133000
2002-02-26,288000
2002-02-27,187300
2002-02-28,122800
2002-03-01,416100
2002-03-04,225500
2002-03-05,228900
2002-03-06,295300
2002-03-07,235200
2002-03-08,136500
2002-03-11,163400
2002-03-12,108800
2002-03-13,97100
2002-03-14,204200
2002-03-15,143700
2002-03-18,215500
2002-03-19,101700
2002-03-20,86400
2002-03-21,164400
2002-03-22,195200
2002-03-25,176300
2002-03-26,185800
2002-03-27,182200
2002-03-28,128700
2002-04-01,80800
2002-04-02,77700
2002-04-03,97300
2002-04-04,65200
2002-04-05,113700
2002-04-08,208300
2002-04-09,120900
2002-04-10,108400
2002-04-11,98000
2002-04-12,387700
2002-04-15,272000
2002-04-16,110900
2002-04-17,61700
2002-04-18,52800
2002-04-19,143500
2002-04-22,404600
2002-04-23,115500
2002-04-24,148900
2002-04-25,77400
2002-04-26,66300
2002-04-29,69200
2002-04-30,106800
2002-05-01,92600
2002-05-02,58000
2002-05-03,105900
2002-05-06,79200
2002-05-07,94800
2002-05-08,181600
2002-05-09,125500
2002-05-10,113500
2002-05-13,117200
2002-05-14,46600
2002-05-15,73000
2002-05-16,26100
2002-05-17,70300
2002-05-20,116300
2002-05-21,131000
2002-05-22,73200
2002-05-23,120800
2002-05-24,79400
2002-05-28,50200
2002-05-29,45600
2002-05-30,46000
2002-05-31,296000
2002-06-03,48700
2002-06-04,139600
2002-06-05,119900
2002-06-06,188400
2002-06-07,213500
2002-06-10,119000
2002-06-11,55000
2002-06-12,541100
2002-06-13,210000
2002-06-14,275100
2002-06-17,91200
2002-06-18,109100
2002-06-19,163800
2002-06-20,524700
2002-06-21,101200
2002-06-24,303100
2002-06-25,219200
2002-06-26,131100
2002-06-27,305500
2002-06-28,248700
2002-07-01,131800
2002-07-02,201700
2002-07-03,246500
2002-07-05,133300
2002-07-08,192700
2002-07-09,280100
2002-07-10,202200
2002-07-11,227500
2002-07-12,225700
2002-07-15,218200
2002-07-16,197100
2002-07-17,176800
2002-07-18,224900
2002-07-19,123600
2002-07-22,94600
2002-07-23,306000
2002-07-24,194300
2002-07-25,123800
2002-07-26,68300
2002-07-29,215300
2002-07-30,119100
2002-07-31,134100
2002-08-01,106500
2002-08-02,94700
2002-08-05,427600
2002-08-06,184700
2002-08-07,146100
2002-08-08,109200
2002-08-09,242200
2002-08-12,139700
2002-08-13,135600
2002-08-14,184300
2002-08-15,252700
2002-08-16,215100
2002-08-19,252500
2002-08-20,335600
2002-08-21,132400
2002-08-22,153700
2002-08-23,111800
2002-08-26,68400
2002-08-27,250200
2002-08-28,139300
2002-08-29,70000
2002-08-30,69300
2002-09-03,174500
2002-09-04,152100
2002-09-05,201000
2002-09-06,195000
2002-09-09,213900
2002-09-10,169500
2002-09-11,154200
2002-09-12,266500
2002-09-13,156800
2002-09-16,57000
2002-09-17,82700
2002-09-18,141900
2002-09-19,171900
2002-09-20,190000
2002-09-23,190200
2002-09-24,144600
2002-09-25,261000
2002-09-26,236000
2002-09-27,152900
2002-09-30,226700
2002-10-01,163900
2002-10-02,242500
2002-10-03,156300
2002-10-04,131300
2002-10-07,59900
2002-10-08,90700
2002-10-09,114300
2002-10-10,199500
2002-10-11,96500
2002-10-14,127500
2002-10-15,144000
2002-10-16,206700
2002-10-17,284700
2002-10-18,256100
2002-10-21,160600
2002-10-22,143800
2002-10-23,162600
2002-10-24,168000
2002-10-25,85000
2002-10-28,131700
2002-10-29,165700
2002-10-30,63300
2002-10-31,117200
2002-11-01,117300
2002-11-04,176500
2002-11-05,82800
2002-11-06,90000
2002-11-07,144800
2002-11-08,100100
2002-11-11,124900
2002-11-12,87500
2002-11-13,75900
2002-11-14,349600
2002-11-15,184000
2002-11-18,132800
2002-11-19,99400
2002-11-20,115200
2002-11-21,141300
2002-11-22,81200
2002-11-25,70400
