Date,volume
2001-07-25,2512582
2001-07-26,2755662
2001-07-27,1440146
2001-07-30,789907
2001-07-31,1003838
2001-08-01,1919611
2001-08-02,808550
2001-08-03,1240635
2001-08-06,1612465
2001-08-07,8050274
2001-08-08,5432735
2001-08-09,3086807
2001-08-10,3289511
2001-08-13,4954094
2001-08-14,3777731
2001-08-15,2700763
2001-08-16,2196063
2001-08-17,1799616
2001-08-20,2128598
2001-08-21,1926615
2001-08-22,2626294
2001-08-23,2413290
2001-08-24,1966991
2001-08-27,1505654
2001-08-28,2449649
2001-08-29,2081115
2001-08-30,2516290
2001-08-31,1490925
2001-09-04,1748116
2001-09-05,1704650
2001-09-06,2091827
2001-09-07,1800646
2001-09-10,1050703
2001-09-17,1715156
2001-09-18,1738331
2001-09-19,1539541
2001-09-20,2053408
2001-09-21,2004277
2001-09-24,1857708
2001-09-25,1634198
2001-09-26,1051218
2001-09-27,1686419
2001-09-28,1049570
2001-10-01,1123009
2001-10-02,1209632
2001-10-03,838626
2001-10-04,1276788
2001-10-05,1108692
2001-10-08,410558
2001-10-09,821013
2001-10-10,738613
2001-10-11,1083663
2001-10-12,1258145
2001-10-15,742527
2001-10-16,1083560
2001-10-17,1725662
2001-10-18,1728237
2001-10-19,608318
2001-10-22,475963
2001-10-23,1048128
2001-10-24,544870
2001-10-25,724914
2001-10-26,920305
2001-10-29,1276170
2001-10-30,3531355
2001-10-31,1589393
2001-11-01,846557
2001-11-02,976028
2001-11-05,1032163
2001-11-06,1189959
2001-11-07,1471355
2001-11-08,887036
2001-11-09,1245373
2001-11-12,683508
2001-11-13,795572
2001-11-14,959754
2001-11-15,1025674
2001-11-16,838935
2001-11-19,1395238
2001-11-20,565676
2001-11-21,600181
2001-11-23,240402
2001-11-26,1169977
2001-11-27,825648
2001-11-28,620369
2001-11-29,440943
2001-11-30,403554
2001-12-03,723987
2001-12-04,581538
2001-12-05,1226318
2001-12-06,540956
2001-12-07,1193152
2001-12-10,382645
2001-12-11,816584
2001-12-12,1057192
2001-12-13,914434
2001-12-14,895585
2001-12-17,625931
2001-12-18,764157
2001-12-19,852840
2001-12-20,665998
2001-12-21,856239
2001-12-24,403863
2001-12-26,470607
2001-12-27,733463
2001-12-28,637364
2001-12-31,943789
2002-01-02,818850
2002-01-03,1058016
2002-01-04,810198
2002-01-07,695044
2002-01-08,898160
2002-01-09,798147
2002-01-10,396138
2002-01-11,440325
2002-01-14,614704
2002-01-15,479053
2002-01-16,414884
2002-01-17,628403
2002-01-18,412412
2002-01-22,418901
2002-01-23,521180
2002-01-24,581847
2002-01-25,358028
2002-01-28,591220
2002-01-29,890126
2002-01-30,610378
2002-01-31,617691
2002-02-01,358749
2002-02-04,493885
2002-02-05,1594440
2002-02-06,1501740
2002-02-07,914846
2002-02-08,651475
2002-02-11,500477
2002-02-12,563616
2002-02-13,772191
2002-02-14,827708
2002-02-15,817717
2002-02-19,698237
2002-02-20,1131970
2002-02-21,1017228
2002-02-22,729240
2002-02-25,783624
2002-02-26,1132897
2002-02-27,1985016
2002-02-28,1009915
2002-03-01,702666
2002-03-04,605434
2002-03-05,608009
2002-03-06,1266385
2002-03-07,1710933
2002-03-08,844497
2002-03-11,609760
2002-03-12,499344
2002-03-13,441046
2002-03-14,575255
2002-03-15,704005
2002-03-18,636231
2002-03-19,523961
2002-03-20,972938
2002-03-21,495739
2002-03-22,1856575
2002-03-25,1426138
2002-03-26,865509
2002-03-27,904031
2002-03-28,461852
2002-04-01,417356
2002-04-02,362251
2002-04-03,651887
2002-04-04,710597
2002-04-05,521489
2002-04-08,443930
2002-04-09,418386
2002-04-10,868393
2002-04-11,917009
2002-04-12,335677
2002-04-15,314974
2002-04-16,718425
2002-04-17,652505
2002-04-18,2473133
2002-04-19,1393796
2002-04-22,747574
2002-04-23,663217
2002-04-24,896409
2002-04-25,2397428
2002-04-26,873337
2002-04-29,628300
2002-04-30,1082839
2002-05-01,596164
2002-05-02,666822
2002-05-03,574225
2002-05-06,451140
2002-05-07,532304
2002-05-08,374714
2002-05-09,267594
2002-05-10,271199
2002-05-13,435793
2002-05-14,462264
2002-05-15,802885
2002-05-16,934210
2002-05-17,549814
2002-05-20,351951
2002-05-21,457835
2002-05-22,476993
2002-05-23,481731
2002-05-24,369564
2002-05-28,257603
2002-05-29,328467
2002-05-30,479671
2002-05-31,448359
2002-06-03,466075
2002-06-04,741497
2002-06-05,509850
2002-06-06,446917
2002-06-07,998173
2002-06-10,503464
2002-06-11,911447
2002-06-12,858093
2002-06-13,514588
2002-06-14,425287
2002-06-17,941008
2002-06-18,921026
2002-06-19,584422
2002-06-20,658376
2002-06-21,726253
2002-06-24,599563
2002-06-25,539308
2002-06-26,768586
2002-06-27,838008
2002-06-28,1446120
2002-07-01,947600
2002-07-02,935652
2002-07-03,762200
2002-07-05,258427
2002-07-08,583598
2002-07-09,910417
2002-07-10,1340339
2002-07-11,1720306
2002-07-12,828738
2002-07-15,665895
2002-07-16,867672
2002-07-17,1622456
2002-07-18,1430258
2002-07-19,1263913
2002-07-22,1259278
2002-07-23,1223228
2002-07-24,2046919
2002-07-25,1759446
2002-07-26,1547060
2002-07-29,1307379
2002-07-30,1691260
2002-07-31,1678385
2002-08-01,990242
2002-08-02,941008
2002-08-05,1137326
2002-08-06,1060282
2002-08-07,787229
2002-08-08,1175745
2002-08-09,1071406
2002-08-12,967891
2002-08-13,1995934
2002-08-14,1766656
2002-08-15,1589702
2002-08-16,1335704
2002-08-19,1032163
2002-08-20,1155351
2002-08-21,1386792
2002-08-22,1190989
2002-08-23,1378449
2002-08-26,755711
2002-08-27,972114
2002-08-28,354423
2002-08-29,877457
2002-08-30,820395
2002-09-03,1219108
2002-09-04,1038034
2002-09-05,924425
2002-09-06,1017743
2002-09-09,669191
2002-09-10,886521
2002-09-11,478744
2002-09-12,452685
2002-09-13,686495
2002-09-16,1142682
2002-09-17,1613186
2002-09-18,2159395
2002-09-19,1481346
2002-09-20,1544279
2002-09-23,1129807
2002-09-24,3027891
2002-09-25,2133542
2002-09-26,1238678
2002-09-27,1204276
2002-09-30,1274007
2002-10-01,1136605
2002-10-02,1288736
2002-10-03,1753060
2002-10-04,953162
2002-10-07,1303877
2002-10-08,1569720
2002-10-09,1578578
2002-10-10,1233631
2002-10-11,1553240
2002-10-14,1773351
2002-10-15,2579223
2002-10-16,1722469
2002-10-17,2012826
2002-10-18,1290487
2002-10-21,1400903
2002-10-22,2645143
2002-10-23,1683123
2002-10-24,1651502
2002-10-25,1441073
2002-10-28,596370
2002-10-29,1025468
2002-10-30,685053
2002-10-31,1410173
2002-11-01,1780252
2002-11-04,972629
2002-11-05,1408319
2002-11-06,733463
2002-11-07,1089225
2002-11-08,1567042
2002-11-11,452273
2002-11-12,933283
2002-11-13,1282247
2002-11-14,622738
2002-11-15,893731
2002-11-18,579478
2002-11-19,690821
2002-11-20,611923
2002-11-21,1079440
2002-11-22,4258638
2002-11-25,3550616
2002-11-26,2484360
2002-11-27,1124966
2002-11-29,311369
2002-12-02,1603710
2002-12-03,1556227
2002-12-04,1259484
2002-12-05,804945
2002-12-06,901662
2002-12-09,1389367
2002-12-10,1451785
2002-12-11,1296873
2002-12-12,900735
2002-12-13,966037
2002-12-16,817614
2002-12-17,1189856
2002-12-18,1563643
2002-12-19,1269475
2002-12-20,1325610
2002-12-23,805872
2002-12-24,241020
2002-12-26,650754
2002-12-27,639321
2002-12-30,837390
2002-12-31,1695277
2003-01-02,1762845
2003-01-03,1059870
2003-01-06,841510
2003-01-07,644574
2003-01-08,598018
2003-01-09,751282
2003-01-10,635922
2003-01-13,1199229
2003-01-14,1126099
2003-01-15,709464
2003-01-16,846248
2003-01-17,1209426
2003-01-21,665174
2003-01-22,632523
2003-01-23,544561
2003-01-24,1219108
2003-01-27,782594
2003-01-28,1507920
2003-01-29,2293707
2003-01-30,2117680
2003-01-31,1540262
2003-02-03,1023202
2003-02-04,976028
2003-02-05,958621
2003-02-06,1085929
2003-02-07,2393205
2003-02-10,1094684
2003-02-11,774560
2003-02-12,847587
2003-02-13,787950
2003-02-14,1147008
2003-02-18,764672
2003-02-19,717601
2003-02-20,1428404
2003-02-21,1625031
2003-02-24,1150819
2003-02-25,2232319
2003-02-26,2836517
2003-02-27,1801058
2003-02-28,1653253
2003-03-03,1609684
2003-03-04,1093242
2003-03-05,1319327
2003-03-06,1173582
2003-03-07,998482
2003-03-10,673517
2003-03-11,881268
2003-03-12,1190371
2003-03-13,1124245
2003-03-14,3082687
2003-03-17,2058558
2003-03-18,1939799
2003-03-19,1591041
2003-03-20,1175642
2003-03-21,1354759
2003-03-24,775796
2003-03-25,1255261
2003-03-26,1588054
2003-03-27,1060282
2003-03-28,1203864
2003-03-31,924631
2003-04-01,926588
2003-04-02,3814708
2003-04-03,1526151
2003-04-04,1347961
2003-04-07,1042360
2003-04-08,1021039
2003-04-09,954398
2003-04-10,898984
2003-04-11,1106735
2003-04-14,682684
2003-04-15,1176878
2003-04-16,1824027
2003-04-17,2685519
2003-04-21,1220653
2003-04-22,1640069
2003-04-23,1328185
2003-04-24,1989960
2003-04-25,948115
2003-04-28,1140313
2003-04-29,1360424
2003-04-30,1816199
2003-05-01,1051630
2003-05-02,2031263
2003-05-05,1317988
2003-05-06,1214164
2003-05-07,1268033
2003-05-08,957179
2003-05-09,1177393
2003-05-12,2366013
2003-05-13,1241356
2003-05-14,1216430
2003-05-15,1091388
2003-05-16,818953
2003-05-19,889508
2003-05-20,11247703
2003-05-21,6074940
2003-05-22,4615533
2003-05-23,2592716
2003-05-27,1532640
2003-05-28,1440146
2003-05-29,1890977
2003-05-30,3680087
2003-06-02,3967766
2003-06-03,3593258
2003-06-04,5947323
2003-06-05,4575569
2003-06-06,2880807
2003-06-09,1701457
2003-06-10,2287939
2003-06-11,1855545
2003-06-12,1890565
2003-06-13,1730194
2003-06-16,1647794
2003-06-17,2756280
2003-06-18,1549841
2003-06-19,2228611
2003-06-20,2112530
2003-06-23,1108898
2003-06-24,1138459
2003-06-25,1290590
2003-06-26,833579
2003-06-27,962844
2003-06-30,1132794
2003-07-01,1399358
2003-07-02,1144536
2003-07-03,955634
2003-07-07,912889
2003-07-08,803297
2003-07-09,1275552
2003-07-10,1381127
2003-07-11,894246
2003-07-14,1242386
2003-07-15,1019494
2003-07-16,1122185
2003-07-17,1533258
2003-07-18,958930
2003-07-21,649003
2003-07-22,987049
2003-07-23,1047098
2003-07-24,1905191
2003-07-25,1537069
2003-07-28,1607212
2003-07-29,2353035
2003-07-30,1497826
2003-07-31,1282865
2003-08-01,1046068
2003-08-04,816069
2003-08-05,938948
2003-08-06,9640388
2003-08-07,3334831
2003-08-08,1843597
2003-08-11,1287397
2003-08-12,2146726
2003-08-13,1667879
2003-08-14,2082248
2003-08-15,1222507
2003-08-18,2332332
2003-08-19,1605976
2003-08-20,3842518
2003-08-21,5718766
2003-08-22,1915491
2003-08-25,991478
2003-08-26,1463218
2003-08-27,2347885
2003-08-28,3926669
2003-08-29,1519044
2003-09-02,4920207
2003-09-03,2521955
2003-09-04,1654695
2003-09-05,1594852
2003-09-08,1126305
2003-09-09,1959163
2003-09-10,1796526
2003-09-11,1444781
2003-09-12,1114254
2003-09-15,1049982
2003-09-16,1528417
2003-09-17,2441203
2003-09-18,1577548
2003-09-19,1553034
2003-09-22,1439940
2003-09-23,2156923
2003-09-24,2692317
2003-09-25,2004071
2003-09-26,1619366
2003-09-29,3340084
